"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
483;"PERSON";"Addonizio";"O";"be of";"LOCATION";"Newark";1.0
484;"LOCATION";"Riverview Hospital";"O";"be in";"LOCATION";"Red Bank";1.0
485;"PERSON";"Sharpe James";"O";"be mayor of";"LOCATION";"Newark";1.0
486;"ORGANIZATION";"Rutgers Health Sciences";"O";"be at";"LOCATION";"Newark";1.0
487;"PERSON";"Zuckerberg";"O";"be ceo of";"ORGANIZATION";"Facebook";1.0
488;"PERSON";"Mark Zuckerberg";"O";"be ceo of";"ORGANIZATION";"Facebook";1.0
489;"PERSON";"Drummond";"O";"be ^ of";"ORGANIZATION";"YouTube";1.0
490;"LOCATION";"Newark";"O";"have";"LOCATION";"Broadway";1.0
491;"ORGANIZATION";"civil society";"O";"be in";"LOCATION";"Newark";1.0
492;"ORGANIZATION";"Census Bureau State & County QuickFacts";"O";"be for";"LOCATION";"Newark U.S";1.0
493;"PERSON";"Haynes Lebkuecher Seymour Doremus Haussling Raymond Gillen Archibald Breidenbach Raymond Congleton Ellenstein Murphy Villani Carlin Addonizio Gibson James Booker Quintana Baraka";"O";"be of";"ORGANIZATION";"Newark Halsey Frelinghuysen Miller Halstead Wright Dod Baldwin Vanderpool Miller Quinby Poinier Bigelow Runyon Peddie Ricord Perry Yates Fiedler Lang";1.0
494;"ORGANIZATION";"Tri?State Region West Hudson Counties Atlantic Bergen Burlington Camden Cape May Cumberland Essex Gloucester Hudson Hunterdon Mercer Middlesex Monmouth Morris Ocean Passaic Salem Somerset Sussex Union";"O";"be metro area of";"LOCATION";"Atlantic Coastal Plain Central Jersey Delaware River Region Delaware Valley Gateway Region Hudson Waterfront Highlands Jersey Shore Meadowlands New York";1.0
495;"ORGANIZATION";"Albany Annapolis Augusta Boston Concord Dover Hartford Harrisburg Montpelier Providence Trenton";"O";"be capital of";"ORGANIZATION";"Waterbury Wilmington Worcester State";1.0
496;"LOCATION";"New Jersey Cities";"O";"be in";"LOCATION";"Essex County";1.0
