"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
557;"PERSON";"Frank Melton";"O";"be press corps of";"LOCATION";"White House";1.0
558;"PERSON";"Morris";"O";"bear in";"LOCATION";"Dallas";1.0
559;"LOCATION";"Holly Lake Ranch";"O";"be in";"LOCATION";"Smith County";1.0
560;"ORGANIZATION";"Steger Federal Building";"O";"be in";"PERSON";"Tyler";1.0
561;"PERSON";"Brian Werner";"O";"bear in";"LOCATION";"Norwood";1.0
562;"LOCATION";"Costa Rica";"O";"see alsoedit texas portal cotton belt depot train museum list in";"ORGANIZATION";"East Texas Tyler Museum";1.0
563;"ORGANIZATION";"american Bicentennial Committee";"O";"be of";"LOCATION";"Tyler-Smith County";1.0
564;"PERSON";"Tyler";"PERSON";"print";"PERSON";"Shop";0.5895475204554187
565;"PERSON";"Kimberly Rothenburg";"O";"be • city attorney of";"PERSON";"Carson";1.0
566;"LOCATION";"Palm Beach County";"O";"be form by";"ORGANIZATION";"Florida State Legislature";1.0
567;"LOCATION";"Florida Town";"O";"platt on";"LOCATION";"Lake Worth";1.0
568;"LOCATION";"West Palm Beach Canal";"O";"be to";"LOCATION";"Lake Okeechobee";1.0
569;"LOCATION";"Palm Beach Air Force Base";"O";"operate near";"LOCATION";"West Palm Beach";1.0
570;"PERSON";"Lois Frankel";"O";"become";"LOCATION";"U.S";1.0
571;"LOCATION";"Environmentedit West Palm Beach Canal";"O";"edit accord to";"LOCATION";"U.S";1.0
572;"LOCATION";"West Palm Beach Canal";"O";"be authorize by";"LOCATION";"U.S";1.0
573;"PERSON";"Jay Phipps";"O";"be socialite of";"LOCATION";"Pittsburgh";1.0
574;"LOCATION";"Styx";"O";"be in";"LOCATION";"Palm Beach";1.0
575;"ORGANIZATION";"Seaboard Railroad passenger Station";"O";"be on";"LOCATION";"Tamarind Avenue";1.0
576;"LOCATION";"Datura Street North Bridge Centre View of Palm Beach County courthouse";"O";"be from";"LOCATION";"Centennial Square Hibiscus Street";1.0
577;"ORGANIZATION";"Palm Beach Atlantic University";"O";"lie along";"ORGANIZATION";"intracoastal Waterway Lake Worth lagoon Palm Beach Atlantic University";1.0
578;"ORGANIZATION";"Economyedit company";"O";"include";"LOCATION";"Florida Public Utilities";1.0
579;"ORGANIZATION";"Historic Court House";"O";"be in";"LOCATION";"West Palm Beach";1.0
580;"ORGANIZATION";"Major League Baseball";"O";"have";"ORGANIZATION";"Miami Marlins";1.0
581;"ORGANIZATION";"National Football League";"O";"have";"ORGANIZATION";"Miami Dolphins";1.0
582;"ORGANIZATION";"Louis Cardinals";"O";"conduct spring training in";"LOCATION";"West Palm Beach";1.0
583;"LOCATION";"Florida";"O";"be at";"PERSON";"Roger Dean Stadium";1.0
584;"PERSON";"Louis Browns";"O";"be at";"PERSON";"Connie Mack Field";1.0
585;"ORGANIZATION";"PGA National Resort & Spa";"O";"be in";"LOCATION";"Palm Beach Gardens";1.0
586;"ORGANIZATION";"Dreher Park Rapids Water Park South Florida Science Museum Lion Country Safari International Polo Hall of Fame National Croquet Center Palm Beach Polo and Players Club Trump International Golf Club";"ORGANIZATION";"of hall be";"LOCATION";"West Palm Beach";1.0
587;"LOCATION";"Florida";"O";"have";"LOCATION";"Turnpike";1.0
588;"ORGANIZATION";"Mediaedit Newspapers Palm Beach Post";"O";"be own by";"ORGANIZATION";"cox Enterprises";1.0
589;"ORGANIZATION";"Post";"O";"be base in";"LOCATION";"West Palm Beach";1.0
590;"PERSON";"Dickey Betts";"O";"be infielder of";"ORGANIZATION";"MLB";1.0
591;"PERSON";"Dante Bichette";"O";"be member of";"ORGANIZATION";"Allman Brothers Band";1.0
592;"PERSON";"Jason Bonham";"O";"be outfielder of";"ORGANIZATION";"MLB";1.0
593;"ORGANIZATION";"Zeppelin";"O";"of";"PERSON";"John Bonham Don Brewer";1.0
594;"PERSON";"Virginia Spencer Carr";"O";"be baseball player of";"ORGANIZATION";"MLB";1.0
595;"PERSON";"Tom Carvel";"O";"be player of";"ORGANIZATION";"NFL";1.0
596;"PERSON";"Ted DiBiase";"O";"be ers of";"LOCATION";"San Francisco";1.0
597;"PERSON";"Mark Foley";"O";"be of";"ORGANIZATION";"Kings Academy";1.0
598;"PERSON";"Anthony Goldwire";"O";"be of";"ORGANIZATION";"mbc Network";1.0
599;"PERSON";"Murray H";"O";"be player of";"ORGANIZATION";"NBA";1.0
600;"PERSON";"Arin Hanson";"O";"be of";"ORGANIZATION";"Palm Beach High School";1.0
601;"PERSON";"Larry the Cable Guy";"O";"be drummer of";"ORGANIZATION";"Aerosmith";1.0
602;"PERSON";"James Patterson";"ORGANIZATION";"be of";"ORGANIZATION";"justice of Florida Supreme Court";1.0
603;"PERSON";"Randi Rhodes";"O";"be of";"ORGANIZATION";"Palm Beach High School";1.0
604;"PERSON";"William J";"O";"be of";"ORGANIZATION";"Bellevue Baptist Church";1.0
605;"PERSON";"Ron Sellers";"O";"be catcher of";"ORGANIZATION";"MLB";1.0
606;"PERSON";"Steve Sipek";"O";"be for";"ORGANIZATION";"Dallas Cowboys";1.0
607;"PERSON";"Joanna Thomas";"O";"be of";"ORGANIZATION";"Palm Beach Lakes High School";1.0
608;"PERSON";"Otis Thorpe";"O";"be from";"ORGANIZATION";"Forest Hill Community High School";1.0
609;"PERSON";"Kyril Vassilev";"O";"be in";"LOCATION";"West Palm Beach";1.0
610;"PERSON";"Robert Wexler";"O";"be at";"ORGANIZATION";"Cardinal Newman High School";1.0
611;"ORGANIZATION";"Florida Department of Law Enforcement";"ORGANIZATION";"of department be";"ORGANIZATION";"FDLE";1.0
612;"ORGANIZATION";"municipal incorporation";"O";"be in";"LOCATION";"Florida";1.0
613;"ORGANIZATION";"Directory of historical Organizations";"O";"be in";"LOCATION";"United States";1.0
614;"ORGANIZATION";"Mandel Public Library";"O";"be of";"LOCATION";"West Palm Beach";1.0
615;"LOCATION";"Boca West Bryant Dahlberg Deem City Dunes Road High Point Loxahatchee Okeelanta Pelican Lake West Boca Raton ghost";"O";"be community of";"ORGANIZATION";"Oriole Watergate Westgate Whisper walk Unincorporated";1.0
616;"LOCATION";"Normandy Isles North Shore Ocean Drive Phillip";"ORGANIZATION";"be of";"ORGANIZATION";"Conservatory Museum of Contemporary Art New World Symphony Orchestra";1.0
617;"ORGANIZATION";"Florida Emerald Coast First Coast Florida Heartland Florida Keys";"O";"be park tourist attraction transportation society floridians culture crime demographics economy education politics sports regions big bend central of";"ORGANIZATION";"law Media Newspapers Radio TV State";1.0
618;"LOCATION";"Albuquerque Largest";"O";"be city of";"ORGANIZATION";"Demonym New Mexican Capital Santa Fe Largest";1.0
619;"ORGANIZATION";"Senate";"O";"be • upper house of";"ORGANIZATION";"Legislature New Mexico Legislature";1.0
620;"LOCATION";"New Mexico";"O";"be state symbol of";"LOCATION";"United States";1.0
621;"LOCATION";"aztec empire of the Valley";"O";"be of";"LOCATION";"Mexico";1.0
622;"LOCATION";"Delaware Basin Wheeler Peak";"O";"be in";"LOCATION";"Sangre de Cristo Range Chaco Canyon Carlsbad Caverns White Sands National Monument Rio Grande Gorge Shiprock";1.0
623;"LOCATION";"Carlsbad Chaco Culture National historical park";"O";"be at";"ORGANIZATION";"Nageezi El Camino Real de Tierra Adentro National Historic trail El Malpais National Monument";1.0
624;"LOCATION";"Great Plains";"O";"be located in";"LOCATION";"Eastern New Mexico";1.0
625;"LOCATION";"Rio Grande";"O";"be near";"LOCATION";"Ohkay Owingeh Pueblo.";1.0
626;"LOCATION";"Kansas";"O";"be cede to";"LOCATION";"Spain";1.0
627;"LOCATION";"Texas";"O";"cede claim to";"LOCATION";"United States";1.0
628;"LOCATION";"United States";"O";"acquire boot heel below";"LOCATION";"Gila River";1.0
629;"ORGANIZATION";"Congress";"O";"admit";"LOCATION";"New Mexico";1.0
630;"ORGANIZATION";"Midwest Refining Company";"O";"have";"PERSON";"Hobbs";1.0
631;"LOCATION";"Permian Basin";"O";"be in";"LOCATION";"New Mexico";1.0
632;"ORGANIZATION";"Transportationedit Santa Fe trail";"O";"be in";"LOCATION";"Cimarron";1.0
633;"LOCATION";"New Mexico";"O";"be highway of";"LOCATION";"New Mexico";1.0
634;"LOCATION";"Rio Grande Gorge Bridge";"O";"be near";"LOCATION";"Taos";1.0
635;"ORGANIZATION";"New Mexico Rail Runner Express";"O";"be the of";"LOCATION";"New Mexico";1.0
636;"LOCATION";"Farmington";"O";"be to";"LOCATION";"Santa Fe.";1.0
637;"LOCATION";"Texas";"O";"be in";"ORGANIZATION";"Southern Pacific Railroad";1.0
638;"LOCATION";"Denver";"O";"be to";"LOCATION";"El Paso";1.0
639;"ORGANIZATION";"atsf";"O";"by";"LOCATION";"El Pasoan";1.0
640;"LOCATION";"Albuquerque International Sunport";"O";"be in";"LOCATION";"New Mexico";1.0
641;"ORGANIZATION";"New Mexico Legislature";"O";"consist of";"ORGANIZATION";"House of Representatives";1.0
642;"ORGANIZATION";"Senate";"O";"be of";"LOCATION";"United States";1.0
643;"LOCATION";"Albuquerque";"O";"have";"LOCATION";"Northeast Heights";1.0
644;"ORGANIZATION";"New Mexico Public Education Department";"O";"be the of";"LOCATION";"New Mexico";1.0
645;"ORGANIZATION";"University of New Mexico";"O";"be in";"LOCATION";"New Mexico";1.0
646;"LOCATION";"Santa Fe";"O";"be home to";"ORGANIZATION";"Frogville Records";1.0
647;"PERSON";"Lawrence";"O";"live near";"LOCATION";"Taos";1.0
648;"PERSON";"Longmire";"O";"be series of";"ORGANIZATION";"A&E Netflix";1.0
649;"ORGANIZATION";"University of Texas";"O";"be at";"LOCATION";"El Paso";1.0
650;"ORGANIZATION";"Bureau of Business and Economic Research";"O";"be at";"ORGANIZATION";"University of New Mexico";1.0
651;"LOCATION";"New Mexico";"O";"be governmentedit of";"LOCATION";"US";1.0
652;"LOCATION";"Federated States";"O";"be of";"LOCATION";"Micronesia Marshall Islands Palau";1.0
653;"LOCATION";"Sicily";"O";"be with";"LOCATION";"Portugal Philippines East Pacific";1.0
654;"LOCATION";"Peru";"O";"be of";"ORGANIZATION";"Amazon";1.0
655;"LOCATION";"States";"O";"be former spanish colony of";"LOCATION";"New Mexico";1.0
656;"LOCATION";"Pennsylvania";"O";"be from";"ORGANIZATION";"Wikipedia";1.0
657;"LOCATION";"Scranton City City";"O";"be of";"LOCATION";"Scranton";1.0
658;"LOCATION";"Northeastern Pennsylvania";"O";"in";"LOCATION";"Wyoming Valley";1.0
659;"PERSON";"Scrantons";"O";"build northward";"LOCATION";"Lackawanna";1.0
660;"LOCATION";"Erie railroad";"O";"be in";"LOCATION";"Great Bend";1.0
661;"LOCATION";"Lackawanna Valley";"O";"be to";"LOCATION";"New York";1.0
662;"LOCATION";"Carbondale";"O";"be to";"LOCATION";"Honesdale";1.0
663;"LOCATION";"Providence";"O";"now part of";"LOCATION";"North Scranton";0.9329787579880514
664;"PERSON";"James Gibbons";"O";"be of";"LOCATION";"Baltimore";1.0
665;"LOCATION";"Lackawanna County courthouse";"O";"be in";"LOCATION";"Scranton";1.0
666;"LOCATION";"Cathedral Cemetery";"O";"be in";"LOCATION";"Scranton";1.0
667;"LOCATION";"Lackawanna";"O";"be in";"LOCATION";"Scranton";1.0
668;"ORGANIZATION";"Bureau";"O";"be in";"LOCATION";"Scranton";1.0
669;"ORGANIZATION";"Scranton Railways";"O";"be re-incorporated as";"ORGANIZATION";"Scranton Transit Company";1.0
670;"ORGANIZATION";"Scranton Cultural Center";"O";"have operate";"ORGANIZATION";"Masonic Temple";1.0
671;"ORGANIZATION";"Hilton Hotels";"O";"open";"ORGANIZATION";"Hilton Scranton Hotel";1.0
672;"PERSON";"Peter";"O";"have";"ORGANIZATION";"Cathedral Electric City Mural First Liberty Building US Post Office";1.0
673;"LOCATION";"Lackawanna River Heritage trail";"O";"run along";"LOCATION";"Lackawanna River";1.0
674;"ORGANIZATION";"WQMY MyNetworkTV";"O";"be affiliate of";"ORGANIZATION";"WOLF-TV fox";1.0
675;"PERSON";"Times-Shamrock";"O";"also publish";"ORGANIZATION";"Electric City";1.0
676;"ORGANIZATION";"Mohegan Sun Arena";"O";"be in";"LOCATION";"Wilkes-Barre Township";1.0
677;"ORGANIZATION";"North East Pennsylvania Miners";"O";"be of";"ORGANIZATION";"big North East Football Federation";1.0
678;"ORGANIZATION";"Mohegan Sun Arena";"O";"be in";"LOCATION";"Wilkes-Barre Township";1.0
679;"ORGANIZATION";"University of Scranton";"ORGANIZATION";"of";"PERSON";"Fitzpatrick Field";1.0
680;"PERSON";"Lucien Rodrigues";"O";"be of";"LOCATION";"France";1.0
681;"LOCATION";"Scranton";"O";"be of";"LOCATION";"Pocono mountain";1.0
682;"LOCATION";"Everhart Museum";"O";"be in";"LOCATION";"Nay Aug Park";1.0
683;"ORGANIZATION";"Polish National Catholic Church";"O";"be in";"LOCATION";"North America";1.0
684;"LOCATION";"Scranton";"O";"have host";"PERSON";"La Festa Italiana";1.0
685;"LOCATION";"Scranton Cultural Center";"O";"be at";"ORGANIZATION";"Masonic Temple";1.0
686;"LOCATION";"Wilkes-Barre/Scranton International Airport";"O";"be located in";"LOCATION";"Avoca";1.0
687;"LOCATION";"Pocono mountain";"O";"be towards";"LOCATION";"New Jersey";1.0
688;"ORGANIZATION";"Holy Cross High School";"O";"be in";"LOCATION";"Dunmore";1.0
689;"LOCATION";"Pennsylvania";"O";"in";"ORGANIZATION";"Lackawanna League";1.0
690;"PERSON";"William Scranton III";"O";"be to";"ORGANIZATION";"United Nations";1.0
691;"PERSON";"Joel Wachs";"O";"be in";"LOCATION";"Scranton";1.0
692;"PERSON";"Walter Bobbie";"O";"be in";"LOCATION";"New York City";1.0
693;"PERSON";"Dick Brookz";"O";"be of";"ORGANIZATION";"Houdini Museum";1.0
694;"PERSON";"Jason Miller";"O";"be poet laureate of";"LOCATION";"United States";1.0
695;"PERSON";"Nestor Chylak";"O";"be player of";"ORGANIZATION";"NFL";1.0
696;"PERSON";"Gerry McNamara";"O";"be for";"ORGANIZATION";"Oakland Raiders";1.0
697;"PERSON";"Marc Spindler";"O";"be of";"ORGANIZATION";"Colorado Avalanche";1.0
698;"PERSON";"Howard Gardner";"O";"be for";"ORGANIZATION";"Citigroup";1.0
699;"PERSON";"Robert C";"O";"be cathedral cemetery of";"LOCATION";"Scranton";1.0
700;"ORGANIZATION";"Roman Catholic Archdiocese";"O";"be of";"LOCATION";"New York";1.0
701;"ORGANIZATION";"Woolworth Company";"O";"be to";"PERSON";"Mel Ziegler";1.0
702;"ORGANIZATION";"Labor Unrest";"O";"be in";"LOCATION";"Scranton";1.0
703;"PERSON";"Patrick";"O";"be saint of";"LOCATION";"Scranton Pennsylvania";1.0
704;"PERSON";"Patrick";"O";"have";"ORGANIZATION";"Office";1.0
705;"LOCATION";"Lebanon Township of O'Hara Township of Penn Hills City";"O";"be of";"LOCATION";"Philadelphia Township";1.0
706;"LOCATION";"Coatesville City";"O";"be of";"LOCATION";"Farrell City";1.0
707;"ORGANIZATION";"Albany Annapolis Augusta Boston Concord Dover Hartford Harrisburg Montpelier Providence Trenton Authority";"O";"be capital of";"ORGANIZATION";"Waterbury Wilmington Worcester State";1.0
708;"LOCATION";"Pennsylvania Lackawanna Heritage Valley Municipalities";"O";"be of";"ORGANIZATION";"Anthracite Coal Region of Pennsylvania Populated";1.0
709;"LOCATION";"Connecticut City City";"O";"be of";"LOCATION";"Hartford";1.0
710;"LOCATION";"Hartford";"O";"be richest city in";"LOCATION";"United States";1.0
711;"LOCATION";"Connecticut";"O";"be of";"LOCATION";"Hartford";1.0
712;"PERSON";"Jacob Van Curler";"O";"formally buy land around";"LOCATION";"Fort Hoop";1.0
713;"PERSON";"isabella Beecher Hooker";"O";"be sister of";"PERSON";"Harriet Beecher Stowe";1.0
714;"PERSON";"Samuel Colt";"O";"receive";"LOCATION";"U.S";1.0
715;"PERSON";"Colt";"O";"supply";"ORGANIZATION";"Union Army";1.0
716;"LOCATION";"Wadsworth Atheneum";"O";"be in";"LOCATION";"Hartford";1.0
717;"ORGANIZATION";"the Pratt & Whitney Company";"O";"be automobile of";"PERSON";"Pope";1.0
718;"ORGANIZATION";"Weed Company";"O";"outrank colt armory in";"LOCATION";"Coltsville";1.0
719;"PERSON";"George Fairfield";"O";"be of";"ORGANIZATION";"Weed Sewing Machine Company";1.0
720;"PERSON";"Eddie Pérez";"O";"be mayor of";"LOCATION";"Hartford";1.0
721;"ORGANIZATION";"Hartford Whalers";"O";"move to";"LOCATION";"Raleigh";1.0
722;"PERSON";"Carrie Saxon Perry";"O";"mayor of";"LOCATION";"Hartford";1.0
723;"LOCATION";"Park River";"O";"divide";"LOCATION";"Hartford";1.0
724;"LOCATION";"Climateedit State House Square";"O";"lie in";"PERSON";"dfa";1.0
725;"PERSON";"Julio A";"O";"be ii president democrat of";"PERSON";"Clarke";1.0
726;"PERSON";"John Q";"O";"be leader democrat of";"ORGANIZATION";"Concepción Majority";1.0
727;"LOCATION";"Connecticut Pratt Street";"O";"be in";"LOCATION";"downtown Hartford";1.0
728;"LOCATION";"South Meadows";"O";"be site of";"LOCATION";"Hartford";1.0
729;"ORGANIZATION";"Economyedit Travelers Tower";"O";"be in";"LOCATION";"downtown Hartford Hartford";1.0
730;"ORGANIZATION";"Hartford Seminary";"O";"be in";"LOCATION";"West End";1.0
731;"LOCATION";"Rensselaer";"O";"be at";"LOCATION";"Hartford";1.0
732;"ORGANIZATION";"Bulkeley High School";"O";"be on";"LOCATION";"Wethersfield Avenue";1.0
733;"ORGANIZATION";"Global Communications Academy";"O";"be on";"LOCATION";"Greenfield Avenue";1.0
734;"ORGANIZATION";"Weaver High School";"O";"be on";"LOCATION";"Granby Street";1.0
735;"ORGANIZATION";"Sport Medical and Sciences Academy";"O";"be on";"LOCATION";"Huyshope Avenue";1.0
736;"LOCATION";"Hartford";"O";"be home to";"ORGANIZATION";"Watkinson School";1.0
737;"LOCATION";"Highwaysedit Bulkeley Bridge";"O";"be in";"LOCATION";"Hartford";1.0
738;"LOCATION";"Whitehead Highway";"O";"provide access to";"LOCATION";"Capitol Area";1.0
739;"LOCATION";"Albany Avenue";"O";"run to";"LOCATION";"Farmington Valley";1.0
740;"LOCATION";"Blue Hills Avenue";"O";"run from";"LOCATION";"Albany Avenue";1.0
741;"LOCATION";"Wethersfield Avenue";"O";"head south towards";"LOCATION";"Middletown";1.0
742;"LOCATION";"Berlin Turnpike";"O";"be in";"LOCATION";"Wethersfield";1.0
743;"LOCATION";"Farmington Avenue";"O";"head west through";"LOCATION";"West Hartford Center";1.0
744;"LOCATION";"Hartford Line Hartford";"O";"have";"ORGANIZATION";"Union Station Amtrak";1.0
745;"ORGANIZATION";"Busedit Connecticut Transit";"O";"be own by";"ORGANIZATION";"Connecticut Department";1.0
746;"LOCATION";"Connecticut River";"O";"connect city with";"LOCATION";"East Hartford";1.0
747;"ORGANIZATION";"First Church of Christ";"O";"be in";"LOCATION";"Hartford";1.0
748;"LOCATION";"Connecticut State Capitol";"O";"locate atop";"LOCATION";"Bushnell Park";1.0
749;"ORGANIZATION";"Hartt School";"O";"be at";"ORGANIZATION";"University of Hartford";1.0
750;"ORGANIZATION";"Massachusetts State House";"O";"be in";"LOCATION";"Boston";1.0
751;"LOCATION";"Old State House";"O";"face";"LOCATION";"Connecticut River";1.0
752;"ORGANIZATION";"Yale University";"O";"be in";"LOCATION";"New Haven";1.0
753;"ORGANIZATION";"Sportsedit Club League Venue";"ORGANIZATION";"found";"ORGANIZATION";"Titles Hartford Yard Goats EL";1.0
754;"ORGANIZATION";"Baseball Dunkin' Donuts Park Hartford Wolf";"ORGANIZATION";"pack";"ORGANIZATION";"ahl";1.0
755;"ORGANIZATION";"nhl";"O";"to";"ORGANIZATION";"Hartford Whalers";1.0
756;"ORGANIZATION";"Boston Celtics";"O";"play home game in";"LOCATION";"Hartford";1.0
757;"LOCATION";"Hartford";"O";"be also home to";"ORGANIZATION";"Hartford Hellions";1.0
758;"LOCATION";"Connecticut River";"O";"be along";"LOCATION";"Columbus Boulevard";1.0
759;"LOCATION";"Hartford";"O";"have";"ORGANIZATION";"Union Station";1.0
760;"ORGANIZATION";"ESPN";"O";"be headquarter in";"LOCATION";"Bristol";0.9885026509316945
761;"PERSON";"Malloy";"O";"be governor of";"LOCATION";"Connecticut";1.0
762;"PERSON";"Suzanne Collins";"O";"have reside in";"LOCATION";"Hartford";1.0
763;"LOCATION";"New York";"O";"have";"LOCATION";"Central Park";1.0
764;"LOCATION";"Niagara Reservation";"O";"be in";"LOCATION";"Niagara Falls";1.0
765;"LOCATION";"Mount Royal Park";"O";"be in";"LOCATION";"Montreal";1.0
766;"ORGANIZATION";"Emerald Necklace";"O";"be in";"LOCATION";"Boston";1.0
767;"LOCATION";"Highland Park";"O";"be in";"LOCATION";"Rochester";1.0
768;"LOCATION";"Detroit River";"O";"be for";"LOCATION";"Detroit";1.0
769;"LOCATION";"Cherokee Park";"O";"be in";"LOCATION";"Louisville";1.0
770;"PERSON";"Elmar Oliveira";"O";"be concert violinist of";"PERSON";"Jackie McLean";1.0
771;"PERSON";"Craig Janney";"O";"be player of";"ORGANIZATION";"nhl";1.0
772;"PERSON";"John Carney";"O";"be kicker of";"ORGANIZATION";"NFL";1.0
773;"ORGANIZATION";"Hartford Electric Light Company Mary-Ann";"O";"be portal of";"LOCATION";"Connecticut";1.0
774;"ORGANIZATION";"Lexington Books";"O";"^";"PERSON";"Shuffelton";0.7277304866291114
775;"PERSON";"Pedro Segarra";"O";"be june ^ of";"ORGANIZATION";"New York Times";1.0
776;"ORGANIZATION";"Labor Situation State";"O";"be of";"LOCATION";"Connecticut";1.0
777;"LOCATION";"Connecticut";"O";"be | of";"ORGANIZATION";"Hartford Symphony Orchestra";1.0
