"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
16476;"ORGANIZATION";"Facebook";"O";"unveil";"ORGANIZATION";"Facebook Home";1.0
16477;"ORGANIZATION";"Poor";"O";"placement of";"ORGANIZATION";"Facebook";0.9190224900887743
16478;"ORGANIZATION";"Tsinghua University";"O";"be in";"LOCATION";"Beijing";1.0
16479;"ORGANIZATION";"Facebook";"O";"be ban in";"LOCATION";"China";1.0
16480;"ORGANIZATION";"Facebook";"O";"announce";"PERSON";"text";1.0
16481;"ORGANIZATION";"Facebook";"O";"of";"ORGANIZATION";"ctr";1.0
16482;"LOCATION";"Dublin";"O";"be in";"LOCATION";"Ireland";1.0
16483;"LOCATION";"Fitzrovia";"O";"be in";"LOCATION";"London";1.0
16484;"ORGANIZATION";"Facebook";"O";"launch";"ORGANIZATION";"Facebook Pages";1.0
16485;"ORGANIZATION";"Facebook";"O";"launch facebook stories in";"LOCATION";"Ireland";1.0
16486;"ORGANIZATION";"Facebook";"O";"launch";"ORGANIZATION";"Facebook Beacon";1.0
16487;"ORGANIZATION";"Facebook";"O";"be company of";"ORGANIZATION";"Facebook";1.0
16488;"ORGANIZATION";"Facebook";"O";"file paperwork with";"ORGANIZATION";"Federal Election Commission";1.0
16489;"ORGANIZATION";"Facebook";"O";"team up with";"ORGANIZATION";"ABC";1.0
16490;"PERSON";"Ben Mezrich";"O";"be pride american author of";"LOCATION";"San Francisco";1.0
16491;"PERSON";"Cristiano Ronaldo";"O";"surpass";"PERSON";"Shakira";1.0
16492;"ORGANIZATION";"Facebook";"O";"have";"PERSON";"Mark Zuckerberg";1.0
16493;"ORGANIZATION";"Facebook user";"O";"be broke into a of";"PERSON";"Mark Zuckerberg";1.0
16494;"ORGANIZATION";"Microsoft";"O";"invest m in";"ORGANIZATION";"Facebook";0.4794334018310456
16495;"ORGANIZATION";"HTC";"O";"announce first smartphone with";"ORGANIZATION";"AT&T";0.6078708670645983
16496;"ORGANIZATION";"Facebook";"ORGANIZATION";"introduce";"ORGANIZATION";"hashtag";0.5087983713375177
16497;"ORGANIZATION";"ACLU";"O";"expose";"ORGANIZATION";"Facebook";1.0
16498;"ORGANIZATION";"Facebook";"O";"office in";"LOCATION";"India";0.5500381657992293
16499;"ORGANIZATION";"Facebook";"O";"be in";"LOCATION";"Los Lunas";1.0
16500;"PERSON";"Zuckerberg";"O";"be in";"LOCATION";"Moscow";1.0
16501;"LOCATION";"Russia";"O";"push";"ORGANIZATION";"Facebook";0.5227004968274923
16502;"ORGANIZATION";"Facebook";"ORGANIZATION";"help";"ORGANIZATION";"Center";1.0
16503;"ORGANIZATION";"Facebook";"O";"have";"PERSON";"Zuckerberg";1.0
16504;"LOCATION";"Syria";"O";"block";"ORGANIZATION";"Facebook";0.4794334018310456
16505;"ORGANIZATION";"Yahoo";"O";"sue";"ORGANIZATION";"Facebook";0.7259694799456706
16506;"ORGANIZATION";"Facebook";"ORGANIZATION";"want";"ORGANIZATION";"piece";1.0
16507;"ORGANIZATION";"Facebook";"O";"be tag of";"PERSON";"Romney";1.0
16508;"LOCATION";"Colombia";"O";"have";"ORGANIZATION";"farc";1.0
16509;"ORGANIZATION";"Facebook Back-To-Back debate";"O";"be in";"LOCATION";"New Hampshire";1.0
16510;"LOCATION";"Colorado";"O";"be 's";"PERSON";"Justin Smith";1.0
16511;"PERSON";"Cristiano Ronaldo";"O";"be person on";"ORGANIZATION";"Facebook";1.0
16512;"ORGANIZATION";"Facebook";"O";"be diplomacy of";"ORGANIZATION";"Facebook";1.0
16513;"ORGANIZATION";"Google";"O";"be diaspora edmodo fanfou gab identi.ca micro.blog migme myspace plurk solaborate qzone tout viadeo vk xing defunct app.net of";"PERSON";"Sina Weibo Tencent Weibo";1.0
16514;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16515;"ORGANIZATION";"Microsoft Naver";"O";"be iac/interactivecorp of";"ORGANIZATION";"Facebook Google";1.0
16516;"ORGANIZATION";"Avaya Cisco Systems Ericsson Fujitsu Hewlett Packard Enterprise Huawei Juniper Networks Motorola Solutions NEC Nokia";"O";"be equipment of";"ORGANIZATION";"Microsoft Nokia Panasonic Samsung Sony TCL Corporation true Xiaomi ZTE network";1.0
16517;"LOCATION";"Maharashtra";"O";"be of";"LOCATION";"western India";1.0
16518;"ORGANIZATION";"Maharaja Sayajirao University of Baroda";"O";"be in";"LOCATION";"Vadodara";1.0
16519;"ORGANIZATION";"Osmania University";"O";"be in";"LOCATION";"Hyderabad";1.0
16520;"ORGANIZATION";"Karnataka University";"O";"be in";"LOCATION";"Dharwar";1.0
16521;"ORGANIZATION";"Gulbarga University";"O";"be in";"LOCATION";"Gulbarga";1.0
16522;"ORGANIZATION";"Devi Ahilya University";"O";"be in";"LOCATION";"Goa";1.0
16523;"LOCATION";"Thanjavur";"O";"be in";"LOCATION";"Tamil Nadu";1.0
16524;"LOCATION";"yatharthadeepika";"O";"be by";"PERSON";"Vaman Pandit";1.0
16525;"PERSON";"Naladamayanti Swayamvara";"O";"be by";"PERSON";"Raghunath Pandit";1.0
16526;"PERSON";"Khandekar";"O";"have";"PERSON";"Yayati";1.0
16527;"ORGANIZATION";"standard Marathi";"O";"be language of";"LOCATION";"Konkani";1.0
16528;"LOCATION";"Jhadipranta";"O";"be of";"LOCATION";"Maharashtra";1.0
16529;"LOCATION";"Nagpur";"O";"be of";"LOCATION";"Maharashtra";1.0
16530;"PERSON";"Stephen";"O";"except for";"PERSON";"Christ Puran";1.0
16531;"LOCATION";"devanagariedit";"O";"be in";"LOCATION";"devanagari";1.0
16532;"PERSON";"Bhashik Mandal";"O";"be marathi of";"LOCATION";"London";1.0
16533;"LOCATION";"Konkani";"O";"be portal of";"LOCATION";"Maharashtra";1.0
16534;"ORGANIZATION";"Campbell";"O";"be ^ of";"LOCATION";"Nationalencyklopedin";1.0
16535;"ORGANIZATION";"Newcastle";"O";"be upon";"PERSON";"Tyne";1.0
16536;"ORGANIZATION";"Newcastle";"O";"be upon";"PERSON";"Tyne";1.0
16537;"ORGANIZATION";"Vaidya Marathi Sahitya";"O";"be by";"PERSON";"Kusumavati Deshpande";1.0
16538;"ORGANIZATION";"Ahmednagar Dhule Jalgaon Nandurbar Nashik Pune";"O";"be division of";"ORGANIZATION";"Bhandara Chandrapur Gadchiroli Gondia Nagpur Wardha Nashik";1.0
16539;"PERSON";"Luri Feyli Bakhtiari Laki Kumzari Larestani Bashkardi";"O";"be persian caucasian tat dari tajik of";"ORGANIZATION";"Digor Iron Pashto Central Pashto Northern Pashto Southern Pashto Wanetsi Yaghnobi Ormuri Parachi Western South";1.0
16540;"PERSON";"Charles Chao";"O";"be ceo of";"PERSON";"Sina";1.0
16541;"PERSON";"Gigi Leung";"O";"be singer of";"LOCATION";"Hong Kong";1.0
16542;"LOCATION";"China";"O";"have";"PERSON";"Sina Weibo";1.0
16543;"ORGANIZATION";"Toshiba";"O";"of";"PERSON";"Sina Weibo";1.0
16544;"ORGANIZATION";"geosentric oyj sign agreement to create Joint Venture";"O";"be with";"ORGANIZATION";"Sina Corporation";1.0
16545;"LOCATION";"China";"O";"have";"PERSON";"Sina";1.0
16546;"ORGANIZATION";"Google";"O";"be edmodo fanfou gab identi.ca micro.blog migme myspace plurk solaborate qzone tout viadeo vk xing defunct app.net of";"ORGANIZATION";"Tumblr LinkedIn Sina Weibo Tencent Weibo Diaspora";1.0
16547;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16548;"PERSON";"Qzone";"O";"be take by";"PERSON";"Zhu Liang";1.0
16549;"PERSON";"kaixin";"O";"be purchase";"PERSON";"Tencent";1.0
16550;"ORGANIZATION";"University of Illinois";"O";"be at";"LOCATION";"Chicago";1.0
16551;"PERSON";"André Pitié";"O";"be key people of";"LOCATION";"France";1.0
16552;"PERSON";"Emmanuel Cassimatis";"O";"be key people of";"LOCATION";"France";1.0
16553;"LOCATION";"Lithuania";"O";"be from";"ORGANIZATION";"Wikipedia";1.0
16554;"PERSON";"Lietuvos Respublika";"O";"be of";"LOCATION";"Lithuania";1.0
16555;"PERSON";"Saulius Skvernelis";"O";"be • prime minister of";"PERSON";"Dalia Grybauskait?";1.0
16556;"LOCATION";"Lithuania";"O";"be occupy by";"LOCATION";"Soviet Union";1.0
16557;"LOCATION";"Soviet Union";"O";"reoccupy";"LOCATION";"Lithuania";1.0
16558;"LOCATION";"Lithuania";"O";"be member of";"ORGANIZATION";"European Union";1.0
16559;"ORGANIZATION";"United Nations Human Development Index";"O";"list";"LOCATION";"Lithuania";1.0
16560;"LOCATION";"Poland";"O";"be of";"LOCATION";"Lithuania";1.0
16561;"LOCATION";"Kaunas";"O";"capital of";"LOCATION";"Lithuania";1.0
16562;"LOCATION";"Soviet Union";"O";"return vilnius to";"LOCATION";"Lithuania";1.0
16563;"LOCATION";"Soviet Union";"O";"annex";"LOCATION";"Lithuania";1.0
16564;"LOCATION";"Germany";"O";"be by";"ORGANIZATION";"Nazi";1.0
16565;"PERSON";"Memel";"O";"be port of";"LOCATION";"Baltic";1.0
16566;"LOCATION";"Lithuania";"O";"member of";"ORGANIZATION";"NATO";1.0
16567;"LOCATION";"Russia";"O";"have";"LOCATION";"Kaliningrad Oblast";1.0
16568;"PERSON";"Saulius Skvernelis";"O";"be president of";"PERSON";"Dalia Grybauskait?";1.0
16569;"LOCATION";"Latvia";"O";"female head in";"LOCATION";"Baltic States";0.8045722026481236
16570;"LOCATION";"Lithuania";"O";"gain membership in";"ORGANIZATION";"World Trade Organization";1.0
16571;"LOCATION";"Lithuania";"O";"host";"ORGANIZATION";"Organization";1.0
16572;"LOCATION";"Lithuania";"O";"be elect to";"ORGANIZATION";"United Nations Security Council";1.0
16573;"LOCATION";"Lithuania";"O";"member of";"ORGANIZATION";"NATO";1.0
16574;"ORGANIZATION";"International Security Assistance Force";"O";"be in";"LOCATION";"Afghanistan";1.0
16575;"PERSON";"Normundas Valteris";"O";"fall in";"LOCATION";"Bosnia";1.0
16576;"ORGANIZATION";"Provincial Reconstruction Team";"O";"be in";"LOCATION";"Afghanistan";1.0
16577;"PERSON";"Šviesos Konversija";"O";"be concentrate in";"LOCATION";"Lithuania";1.0
16578;"LOCATION";"Lithuania";"O";"most homogenous population in";"LOCATION";"Baltic States";0.6936726056557001
16579;"ORGANIZATION";"Roma";"O";"live in";"LOCATION";"Lithuania";1.0
16580;"ORGANIZATION";"Vytautas Magnus University";"O";"be found in";"LOCATION";"Kaunas";0.9228391716259378
16581;"ORGANIZATION";"Ministry of Education";"O";"be of";"LOCATION";"republic of Lithuania";1.0
16582;"ORGANIZATION";"Kaunas University";"O";"be technical university in";"LOCATION";"Baltic States";1.0
16583;"PERSON";"Jonas Mekas";"O";"be in";"LOCATION";"Lithuania";1.0
16584;"PERSON";"Donatas Motiej?nas";"O";"be player of";"ORGANIZATION";"NBA";1.0
16585;"LOCATION";"Saudi Arabia";"O";"serve on";"ORGANIZATION";"UN Security Council";1.0
16586;"ORGANIZATION";"Western Union";"O";"open centre in";"LOCATION";"Vilnius";1.0
16587;"ORGANIZATION";"Ministry of Finance";"O";"be of";"LOCATION";"republic of Lithuania";1.0
16588;"LOCATION";"Guernsey Isle";"O";"be sovereign base area gibraltar british overseas territory of";"LOCATION";"Dhekelia";1.0
16589;"ORGANIZATION";"Trusteeship Council Programmes";"O";"be statute of";"ORGANIZATION";"International Court of Justice";1.0
16590;"ORGANIZATION";"Enlargement Resolutions Security Council";"O";"be mission history timeline of";"ORGANIZATION";"United Nations peacekeeping";1.0
16591;"LOCATION";"Tanzania Thailand Togo Tonga Trinidad and Tobago Tunisia Turkey Uganda Ukraine United Arab Emirates United States Uruguay";"O";"be ³ of";"LOCATION";"Grenadines Samoa Saudi Arabia Senegal Seychelles Sierra Leone Singapore Solomon Islands South Africa Sri Lanka Suriname Swaziland Switzerland Tajikistan Taiwan";1.0
16592;"LOCATION";"Cape Verde Central African Republic Chad Comoros Cyprus Democratic Republic of the Congo Republic of the";"LOCATION";"be of";"ORGANIZATION";"Congo Djibouti Dominica Egypt Equatorial Guinea France French Guiana Guadeloupe Martinique St";1.0
16593;"LOCATION";"Sámegiella Gagana Samoa";"O";"be simi ?????????? ??????? ???? ???? of";"PERSON";"Român? Romani Rumantsch Runa";1.0
16594;"PERSON";"Alexa";"O";"be website hi.com of";"PERSON";"Ramu Yalamanchi";1.0
16595;"ORGANIZATION";"ning Wall.fm Tools Social";"O";"be lunarstorm meday meerkat mobli netlog orkut sixdegrees.com so.cl tvtag wretch yik yak white-label service of";"LOCATION";"Jaiku";1.0
16596;"PERSON";"Justin Miller";"O";"be key people of";"LOCATION";"California";1.0
16597;"PERSON";"Rikk Carey";"O";"join";"ORGANIZATION";"Plaxo";1.0
16598;"ORGANIZATION";"NBCUniversal Universal Pictures NBC Universal Parks NBCU Cable Telemundo NBCU TV Group NBC Sports Group NBCU News Group related";"O";"be theplatform younow of";"ORGANIZATION";"Movies.com Xfinity Streampix Plaxo";1.0
16599;"PERSON";"Rousseau";"O";"be in";"LOCATION";"France";1.0
16600;"LOCATION";"UK";"O";"have";"ORGANIZATION";"Ecology Party";1.0
16601;"ORGANIZATION";"Green Party";"O";"be in";"LOCATION";"Europe";1.0
16602;"PERSON";"Elizabeth May";"O";"be leader of";"ORGANIZATION";"current Green Party of Canada";1.0
16603;"ORGANIZATION";"Green Party";"O";"leader with";"ORGANIZATION";"Social Democrats";1.0
16604;"ORGANIZATION";"Freedom party";"O";"against";"PERSON";"Norbert Hofer";1.0
16605;"ORGANIZATION";"Green committee of correspondence";"O";"be in";"LOCATION";"United States";1.0
16606;"PERSON";"Alex epstein";"O";"be of";"PERSON";"Forbes";1.0
16607;"ORGANIZATION";"Global Green Congress";"O";"be hold in";"LOCATION";"São Paulo";1.0
16608;"PERSON";"Betancourt";"O";"have speak at";"LOCATION";"Canberra Gathering";1.0
16609;"LOCATION";"Iraq";"O";"be in";"LOCATION";"Cancun";1.0
16610;"LOCATION";"Germany";"O";"be in";"ORGANIZATION";"Nazi";1.0
16611;"PERSON";"Orkut Büyükkökten";"O";"be employee of";"ORGANIZATION";"Google";1.0
16612;"ORGANIZATION";"Federal Justice";"O";"subpoena";"ORGANIZATION";"Google";1.0
16613;"LOCATION";"Bahrain";"O";"have";"ORGANIZATION";"Information Ministry";1.0
